Nom_Principal_Activitat;Nom_Sector_Activitat;Nom_Grup_Activitat;X_UTM_ETRS89;Y_UTM_ETRS89
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431541.293219293;4581612.36983244
Actiu;Serveis;Altres;431534.944079974;4581605.05621092
Actiu;Comerç al detall;Equipament personal;431530.294530654;4581611.46816943
Actiu;Serveis;Activitats immobiliàries;431578.730286033;4581539.06202525
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431576.549071122;4581533.72006862
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431582.277148191;4581546.51394803
Actiu;Comerç al detall;Quotidià alimentari;431584.794819791;4581551.85272967
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431601.411248845;4581577.61540535
Actiu;Serveis;Altres;431598.343509455;4581573.39897665
Actiu;Serveis;Altres;431595.28525636;4581570.18782027
Actiu;Altres;Altres;431602.560013528;4581580.50928254
Actiu;Comerç al detall;Equipament personal;431607.209198983;4581585.93964682
Actiu;Altres;Altres;431561.712285858;4581530.17326606
Actiu;Serveis;Altres;431563.658708417;4581534.4002698
Actiu;Comerç al detall;Quotidià alimentari;431566.864987006;4581541.40851331
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431574.720056352;4581530.05042492
Actiu;Comerç al detall;Quotidià alimentari;431574.738423427;4581555.74629263
Actiu;Serveis;Altres;431583.018229432;4581565.61135685
Actiu;Comerç al detall;Equipament personal;431718.462674872;4581824.5286299
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431793.984787408;4581758.46234055
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431723.455900374;4581818.89574595
Actiu;Comerç al detall;Altres;431711.689010112;4581807.8347531
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431719.24869188;4581800.83712407
Actiu;Comerç al detall;Equipament personal;431703.683235288;4581756.16594577
Actiu;Serveis;Altres;431590.414830644;4581790.76877221
Actiu;Altres;Altres;431662.904634501;4581688.64400217
Actiu;Comerç al detall;Equipament personal;431656.98583372;4581691.26935164
Actiu;Comerç al detall;Parament de la llar;431659.981318181;4581699.73176112
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431650.17842431;4581635.36178861
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431653.036525536;4581641.14438145
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431676.382711116;4581667.06669324
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431658.405883255;4581651.59534258
Actiu;Comerç al detall;Quotidià alimentari;431579.879885049;4581981.45696809
Actiu;Comerç al detall;Parament de la llar;431511.15075925;4581757.33173467
Actiu;Altres;Altres;431467.746587004;4581792.3748583
Actiu;Altres;Altres;431517.396617616;4581741.85553399
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431537.630383114;4581735.07291057
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431543.426428617;4581731.33145497
Actiu;Serveis;Ensenyament;431533.543968471;4581729.86066179
Actiu;Serveis;Altres;431553.779892986;4581723.30156414
Actiu;Altres;Altres;431556.786396071;4581721.03872066
Actiu;Serveis;Altres;431552.474683961;4581715.71689512
Actiu;Serveis;Altres;431560.085628107;4581718.22418977
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431567.849856337;4581705.07017399
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431567.927926576;4581713.33660126
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431459.861445997;4581788.65105312
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431574.502713679;4581708.91742812
Actiu;Comerç al detall;Equipament personal;431470.968829843;4581789.21627037
Actiu;Comerç al detall;Equipament personal;431473.743638316;4581786.17361
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431470.206285006;4581779.72745313
Actiu;Comerç al detall;Oci i cultura;431466.214939342;4581784.5690661
Actiu;Comerç al detall;Equipament personal;431480.758345883;4581780.85652129
Actiu;Comerç al detall;Equipament personal;431486.990143945;4581775.77023143
Actiu;Comerç al detall;Equipament personal;431475.332688025;4581776.32735819
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431485.783266285;4581766.73250354
Actiu;Altres;Altres;431482.00355715;4581770.23143938
Actiu;Comerç al detall;Equipament personal;431493.691906345;4581761.07178093
Actiu;Serveis;Equipaments culturals i recreatius;431489.575736814;4581764.5740048
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431490.988902247;4581771.71064364
Actiu;Comerç al detall;Parament de la llar;431496.348017039;4581769.20214145
Actiu;Serveis;Equipaments culturals i recreatius;431435.423054512;4581777.71037507
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431452.389712498;4581804.92087777
Actiu;Comerç al detall;Altres;431457.24621138;4581808.56162991
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431462.558676904;4581812.98004461
Actiu;Serveis;Equipaments culturals i recreatius;431474.760870883;4581822.58405179
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431466.515136325;4581804.45206378
Actiu;Comerç al detall;Equipament personal;431461.65969599;4581800.92298997
Actiu;Altres;Altres;431481.534165018;4581827.32396998
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431488.519017805;4581830.721005
Actiu;Comerç al detall;Equipament personal;431473.177384813;4581809.30460829
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431505.899423841;4581640.74605067
Actiu;Serveis;Ensenyament;431495.87320367;4581624.08288985
Actiu;Comerç al detall;Equipament personal;431716.549213671;4581704.78440137
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431732.364578987;4581740.83235281
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431718.257458559;4581731.3574519
Actiu;Comerç al detall;Equipament personal;431722.366895448;4581739.02741671
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431737.283151923;4581751.06422839
Actiu;Comerç al detall;Equipament personal;431725.601352578;4581749.05165456
Actiu;Comerç al detall;Quotidià alimentari;431661.329775194;4581735.69263563
Actiu;Serveis;Altres;431630.758002506;4581728.3841501
Actiu;Comerç al detall;Quotidià no alimentari;431641.805204218;4581758.22057527
Actiu;Comerç al detall;Quotidià alimentari;431644.431641019;4581763.22315651
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431664.537979935;4581742.92406924
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431646.385331616;4581768.23197403
Actiu;Comerç al detall;Equipament personal;431668.421112881;4581750.37263912
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431649.242415829;4581773.90276968
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431671.26862073;4581755.03795063
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431652.347893593;4581782.14063912
Actiu;Comerç al detall;Quotidià alimentari;431658.398404432;4581793.47873054
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431673.333366256;4581759.93414435
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431665.108994221;4581803.47015745
Actiu;Comerç al detall;Equipament personal;431667.282693266;4581808.03012777
Actiu;Comerç al detall;Equipament personal;431669.564297494;4581812.14208139
Actiu;Comerç al detall;Altres;431676.551029114;4581768.17096562
Actiu;Comerç al detall;Equipament personal;431673.820920136;4581764.06312814
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431671.296873463;4581817.48818487
Actiu;Comerç al detall;Equipament personal;431648.628067987;4581708.77639942
Actiu;Comerç al detall;Equipament personal;431646.015231508;4581705.22604882
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431679.064260616;4581773.06282092
Actiu;Comerç al detall;Equipament personal;431675.980620203;4581826.60484702
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431681.581786705;4581778.40163626
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431690.487735755;4581854.73252496
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431695.37996828;4581862.17159525
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431698.807064566;4581868.84228589
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431688.098651629;4581791.63460342
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431699.666124766;4581817.22070967
Actiu;Serveis;Altres;431715.449319365;4581837.96313241
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431713.403574732;4581835.07780259
Sense activitat Econòmica;Locals buits en lloguer;Grup no definit;431710.35495825;4581832.87220276
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431708.087070224;4581830.21235691
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431724.949414384;4581846.47585284
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431719.181193995;4581841.27946155
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431649.555623535;4581712.00756476
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431654.462741835;4581721.01052308
Actiu;Comerç al detall;Equipament personal;431637.248250592;4581750.66668198
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431656.977058229;4581726.01416623
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431473.253987439;4581686.97178941
Sense activitat Econòmica;Locals buits en venda i lloguer;Grup no definit;431476.80308644;4581694.64691985
Actiu;Comerç al detall;Equipament personal;431480.131012551;4581702.65911581
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431483.40611821;4581705.08609034
Actiu;Comerç al detall;Parament de la llar;431490.359401736;4581705.13203858
Actiu;Serveis;"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)";431493.297786699;4581731.24664523
